img	comment	related text	question	answer
09303-vanitas9.jpg	a stack of books sitting on top of a table			
		a stack of books sit on top of a table	What do a stack of books sit on?	on top of a table
		a stack of books sit on top of a table	What sit on top of a table?	a stack of books
		a stack of books sit on top of a table	Where do a stack of books sit?	on top of a table
19032-italland.jpg	a body of water next to a forest filled with trees			
37110-scene23.jpg	a group of people standing in front of a window			
		a group of people stand in front of a window	What stand in front of a window?	a group of people
		a group of people stand in front of a window	What do a group of people stand in?	in front of a window
01072-david1.jpg	a woman standing on top of a bed with sheep			
		a woman stand on top of a bed with sheep	Where do a woman stand?	on top of a bed with sheep
		a woman stand on top of a bed with sheep	What do a woman stand on?	on top of a bed with sheep
		a woman stand on top of a bed with sheep	Who stand on top of a bed with sheep?	a woman
22311-02beerga.jpg	a group of people sitting around a wooden bench			
		a group of people sit around a wooden bench	What do a group of people sit around?	around a wooden bench
		a group of people sit around a wooden bench	What sit around a wooden bench?	a group of people
36769-diptych3.jpg	a statue of a shirtless man in the dark			
40900-11lament.jpg	a group of people standing next to each other			
		a group of people stand next to each other	What stand next to each other?	a group of people
		a group of people stand next to each other	What do a group of people stand next to?	to each other
39275-2cana.jpg	a large group of people in a room			
31430-05portu.jpg	a large display of people in a building			
39465-05joseph.jpg	an old photo of a woman in a <unk>			
41979-farnese.jpg	a large house with a tree in front of it			
31080-3anton10.jpg	a couple of women standing next to each other			
		a couple of women stand next to each other	What stand next to each other?	a couple of women
		a couple of women stand next to each other	What do a couple of women stand next to?	to each other
39685-09grima0.jpg	a group of people standing next to a statue			
		a group of people stand next to a statue	What stand next to a statue?	a group of people
		a group of people stand next to a statue	What do a group of people stand next to?	to a statue
30938-stillif2.jpg	a close up of a bowl of fruit on a table			
37887-virgin_c.jpg	a group of people standing in a room			
		a group of people stand in a room	What stand in a room?	a group of people
		a group of people stand in a room	What do a group of people stand in?	in a room
32168-isabella.jpg	a close up of a person wearing a costume			
		a close up of a person wear a costume	What wear a costume?	a close up of a person
		a close up of a person wear a costume	What do a close up of a person wear?	a costume
18898-stanthon.jpg	a man reading a book on a bed			
		a man read a book on a bed	What did a man read on a bed?	a book
		a man read a book on a bed	What did a man read a book on?	on a bed
		a man read a book on a bed	Who read a book on a bed?	a man
23912-wed_cana.jpg	a group of people standing around a table			
		a group of people stand around a table	What stand around a table?	a group of people
		a group of people stand around a table	What do a group of people stand around?	around a table
22936-03tailor.jpg	a black and white photo of people sitting on a couch			
		a black and white photo of people sit on a couch	What do a black and white photo of people sit on?	on a couch
		a black and white photo of people sit on a couch	What sit on a couch?	a black and white photo of people
23013-queenmar.jpg	a woman in a red dress holding a book			
		a woman in a red dress hold a book	What do a woman in a red dress hold?	a book
		a woman in a red dress hold a book	Who hold a book?	a woman in a red dress
44666-firenze1.jpg	a large building with people walking around it			
		a large building with people walk around it	What do a large building with people walk around?	around it
35251-3madenth.jpg	a group of people sitting on a stage			
		a group of people sit on a stage	What sit on a stage?	a group of people
		a group of people sit on a stage	When do a group of people sit?	on a stage
10504-ascoli.jpg	a large building with a painting on it			
30165-parrots.jpg	a bunch of birds that are sitting in a window			
		a bunch of birds that are sit in a window	What sit in a window?	a bunch of birds that are
		a bunch of birds that are sit in a window	What do a bunch of birds that are sit in?	in a window
14208-medici.jpg	a large group of people standing in a building			
		a large group of people stand in a building	What stand in a building?	a large group of people
		a large group of people stand in a building	What do a large group of people stand in?	in a building
22750-1selfpor.jpg	a black and white photo of a woman sitting on a bed			
		a black and white photo of a woman sit on a bed	What do a black and white photo of a woman sit on?	on a bed
		a black and white photo of a woman sit on a bed	What sit on a bed?	a black and white photo of a woman
39986-1misc09.jpg	a statue of a man wearing a hat and a hat			
		a statue of a man wear a hat and a hat	What do a statue of a man wear?	a hat and a hat
		a statue of a man wear a hat and a hat	What wear a hat and a hat?	a statue of a man
04406-bacchant.jpg	a couple of people laying on top of a bed			
		a couple of people lay on top of a bed	What lay on top of a bed?	a couple of people
		a couple of people lay on top of a bed	Where did a couple of people lie?	on top of a bed
		a couple of people lay on top of a bed	What did a couple of people lie on?	on top of a bed
25257-madonna1.jpg	a group of people sitting next to each other			
		a group of people sit next to each other	What do a group of people sit next to?	to each other
		a group of people sit next to each other	What sit next to each other?	a group of people
26376-river_la.jpg	a couple of people standing next to a tree			
		a couple of people stand next to a tree	What stand next to a tree?	a couple of people
		a couple of people stand next to a tree	What do a couple of people stand next to?	to a tree
03815-098ecsta.jpg	a man standing next to a stone wall			
		a man stand next to a stone wall	Who stand next to a stone wall?	a man
		a man stand next to a stone wall	What do a man stand next to?	to a stone wall
16587-2pitti.jpg	a large stone building with a painting on the wall			
27101-man_pipe.jpg	a man wearing a hat and a tie			
		a man wear a hat and a tie	Who wear a hat and a tie?	a man
		a man wear a hat and a tie	What do a man wear?	a hat and a tie
15336-wisdom.jpg	a painting of a man sitting on top of a bed			
		a painting of a man sit on top of a bed	What sit on top of a bed?	a painting of a man
		a painting of a man sit on top of a bed	What do a painting of a man sit on?	on top of a bed
		a painting of a man sit on top of a bed	Where do a painting of a man sit?	on top of a bed
23583-port_wom.jpg	a man in a suit and bow tie			
41333-044virgi.jpg	a statue of a man sitting on a couch			
		a statue of a man sit on a couch	What do a statue of a man sit on?	on a couch
		a statue of a man sit on a couch	What sit on a couch?	a statue of a man
39734-01sisyph.jpg	a man with a beard and a brown shirt is holding a dog			
		a man with a beard and a brown shirt is holding a dog	Who is holding a dog?	a man with a beard and a brown shirt
		a man with a beard and a brown shirt is holding a dog	What is a man with a beard and a brown shirt holding?	a dog
36094-camillu1a.jpg	a painting of a cat laying on a bed			
		a painting of a cat lay on a bed	What lay on a bed?	a painting of a cat
		a painting of a cat lay on a bed	What did a painting of a cat lie on?	on a bed
22927-00moros.jpg	a large building with a statue of statues on it			
25985-05nativi.jpg	a man and a woman standing next to each other			
		a man and a woman stand next to each other	Who stand next to each other?	a man and a woman
		a man and a woman stand next to each other	What do a man and a woman stand next to?	to each other
22442-river_la.jpg	a group of people on a beach with horses			
18297-1011grec.jpg	a close up of a person wearing a suit and tie			
		a close up of a person wear a suit and tie	What wear a suit and tie?	a close up of a person
		a close up of a person wear a suit and tie	What do a close up of a person wear?	a suit and tie
28417-tavern.jpg	a group of people sitting in front of a building			
		a group of people sit in front of a building	What sit in front of a building?	a group of people
		a group of people sit in front of a building	What do a group of people sit in?	in front of a building
37129-60portra.jpg	a man wearing a red hat with a hat on			
		a man wear a red hat with a hat on	Who wear a red hat with a hat on?	a man
		a man wear a red hat with a hat on	What do a man wear on?	a red hat with a hat
37870-adoratio.jpg	a group of people standing next to each other			
		a group of people stand next to each other	What stand next to each other?	a group of people
		a group of people stand next to each other	What do a group of people stand next to?	to each other
08955-herring.jpg	a glass vase sitting on top of a table			
		a glass vase sit on top of a table	Where do a glass vase sit?	on top of a table
		a glass vase sit on top of a table	What do a glass vase sit on?	on top of a table
		a glass vase sit on top of a table	What sit on top of a table?	a glass vase
03654-skating.jpg	a large group of people walking across a river			
		a large group of people walk across a river	What do a large group of people walk across?	across a river
		a large group of people walk across a river	What walk across a river?	a large group of people
18064-09scene.jpg	a group of people standing next to a building			
		a group of people stand next to a building	What do a group of people stand next to?	to a building
		a group of people stand next to a building	What stand next to a building?	a group of people
09908-courb412.jpg	a large building with a mountain in the background			
08974-vanitas0.jpg	a painting of a cow sitting on top of a table			
		a painting of a cow sit on top of a table	Where do a painting of a cow sit?	on top of a table
		a painting of a cow sit on top of a table	What sit on top of a table?	a painting of a cow
		a painting of a cow sit on top of a table	What do a painting of a cow sit on?	on top of a table
04745-landscap.jpg	a man standing in front of a small house			
		a man stand in front of a small house	What do a man stand in?	in front of a small house
		a man stand in front of a small house	Who stand in front of a small house?	a man
42049-columbus.jpg	a group of people standing next to each other			
		a group of people stand next to each other	What stand next to each other?	a group of people
		a group of people stand next to each other	What do a group of people stand next to?	to each other
24621-ecce_hom.jpg	a couple of men standing next to each other			
		a couple of men stand next to each other	What stand next to each other?	a couple of men
		a couple of men stand next to each other	What do a couple of men stand next to?	to each other
17983-07scene.jpg	a group of people standing next to each other			
		a group of people stand next to each other	What stand next to each other?	a group of people
		a group of people stand next to each other	What do a group of people stand next to?	to each other
29407-venusarm.jpg	a group of people sitting on top of a couch			
		a group of people sit on top of a couch	What sit on top of a couch?	a group of people
		a group of people sit on top of a couch	What do a group of people sit on?	on top of a couch
		a group of people sit on top of a couch	Where do a group of people sit?	on top of a couch
19134-31peecke.jpg	a man with a beard and a beard			
20578-company5.jpg	a group of people sitting on the ground next to trees			
		a group of people sit on the ground next to trees	What do a group of people sit on the ground next to?	to trees
		a group of people sit on the ground next to trees	What sit on the ground next to trees?	a group of people
39621-1resurr5.jpg	a man sitting on a bed with his hands in his hand			
		a man sit on a bed with his hands in his hand	Who sit on a bed with his hands in his hand?	a man
		a man sit on a bed with his hands in his hand	What do a man sit on a bed with?	with his hands in his hand
		a man sit on a bed with his hands in his hand	What do a man sit on with his hands in his hand?	on a bed
13627-04ferenc.jpg	a group of people standing around a building			
		a group of people stand around a building	What stand around a building?	a group of people
		a group of people stand around a building	What do a group of people stand around?	around a building
21480-annuncia.jpg	a group of people standing in a room			
		a group of people stand in a room	What stand in a room?	a group of people
		a group of people stand in a room	What do a group of people stand in?	in a room
20189-nieuwe1.jpg	a large building with people sitting on it			
		a large building with people sit on it	What do a large building with people sit on?	on it
42701-ludovisi.jpg	a group of people standing next to each other			
		a group of people stand next to each other	What stand next to each other?	a group of people
		a group of people stand next to each other	What do a group of people stand next to?	to each other
35455-02samson.jpg	a group of people sitting on a couch			
		a group of people sit on a couch	What do a group of people sit on?	on a couch
		a group of people sit on a couch	What sit on a couch?	a group of people
03454-lastsupp.jpg	a large group of people sitting around a table			
		a large group of people sit around a table	What sit around a table?	a large group of people
		a large group of people sit around a table	What do a large group of people sit around?	around a table
23565-eavesdr.jpg	a woman is standing in front of a building			
		a woman is standing in front of a building	Who is standing in front of a building?	a woman
		a woman is standing in front of a building	What is a woman standing in?	in front of a building
21250-barbier.jpg	a woman in a hat holding a <unk>			
		a woman in a hat hold a (unk)	Who hold a?	a woman in a hat
		a woman in a hat hold a (unk)	What do a woman in a hat hold?	a
07735-swimming.jpg	a man and a dog are standing in the water			
		a man and a dog are standing in the water	Who are standing in the water?	a man and a dog
		a man and a dog are standing in the water	What are a man and a dog standing in?	in the water
36733-triumph.jpg	a group of people riding on the backs of elephants			
15599-12adorat.jpg	a woman standing next to a man and a child			
		a woman stand next to a man and a child	Who do a woman stand next to?	to a man and a child
		a woman stand next to a man and a child	Who stand next to a man and a child?	a woman
13579-4invita2.jpg	a group of people standing next to each other			
		a group of people stand next to each other	What stand next to each other?	a group of people
		a group of people stand next to each other	What do a group of people stand next to?	to each other
36026-1still.jpg	a bunch of fruits and vegetables on a table			
05057-stillife.jpg	a woman sitting at a table with fruit in it			
		a woman sit at a table with fruit in it	Who sit at a table with fruit in it?	a woman
		a woman sit at a table with fruit in it	What do a woman sit at with fruit in it?	at a table
		a woman sit at a table with fruit in it	What do a woman sit at a table with?	with fruit in it
22787-adorat.jpg	a group of people standing in front of a building			
		a group of people stand in front of a building	What stand in front of a building?	a group of people
		a group of people stand in front of a building	What do a group of people stand in?	in front of a building
23969-2chris06.jpg	a group of people standing in front of a building			
		a group of people stand in front of a building	What stand in front of a building?	a group of people
		a group of people stand in front of a building	What do a group of people stand in?	in front of a building
25050-altarpie.jpg	a group of people standing next to each other			
		a group of people stand next to each other	What stand next to each other?	a group of people
		a group of people stand next to each other	What do a group of people stand next to?	to each other
36595-immacula.jpg	a statue of a woman in a white dress			
13927-tronie.jpg	a woman in a dress and a brown dress			
09342-viewdelf.jpg	a large building with people walking around it			
		a large building with people walk around it	What do a large building with people walk around?	around it
38206-merchant.jpg	a woman sitting on a chair in a room			
		a woman sit on a chair in a room	What do a woman sit on in a room?	on a chair
		a woman sit on a chair in a room	What do a woman sit on a chair in?	in a room
		a woman sit on a chair in a room	Who sit on a chair in a room?	a woman
14155-08music.jpg	a man in a white dress is holding a bag			
		a man in a white dress is holding a bag	What is a man in a white dress holding?	a bag
		a man in a white dress is holding a bag	Who is holding a bag?	a man in a white dress
30305-expulsio.jpg	a group of people standing in front of a church			
		a group of people stand in front of a church	What do a group of people stand in?	in front of a church
		a group of people stand in front of a church	What stand in front of a church?	a group of people
15430-latina1.jpg	a painting of a man and a bird on a wall			
21165-port_man.jpg	a man wearing a hat and a hat			
		a man wear a hat and a hat	Who wear a hat and a hat?	a man
		a man wear a hat and a hat	What do a man wear?	a hat and a hat
09987-cecilia.jpg	a group of people sitting in a room			
		a group of people sit in a room	What sit in a room?	a group of people
		a group of people sit in a room	What do a group of people sit in?	in a room
42741-petition.jpg	a group of people riding horses down a dirt road			
42991-5venus_a.jpg	a woman standing next to a bunch of animals			
		a woman stand next to a bunch of animals	Who stand next to a bunch of animals?	a woman
		a woman stand next to a bunch of animals	What do a woman stand next to?	to a bunch of animals
21671-seguier.jpg	a group of people standing under an umbrella			
		a group of people stand under an umbrella	What do a group of people stand under?	under an umbrella
		a group of people stand under an umbrella	What stand under an umbrella?	a group of people
30092-ztriptic.jpg	a large wooden clock with a painting on it			
13074-nude_mod.jpg	a man laying on the ground with his arms crossed			
		a man laying on the ground with his arms crossed	Who crossed?	a man laying on the ground with his arms
32991-2scenes.jpg	a room with a painting on the wall			
19612-saints.jpg	a woman standing in front of a building			
		a woman stand in front of a building	What do a woman stand in?	in front of a building
		a woman stand in front of a building	Who stand in front of a building?	a woman
03862-138sacr.jpg	a couple of women standing next to each other			
		a couple of women stand next to each other	What stand next to each other?	a couple of women
		a couple of women stand next to each other	What do a couple of women stand next to?	to each other
26070-19coin.jpg	a man wearing a hat and holding a hat			
		a man wear a hat and holding a hat	Who wear a hat and holding a hat?	a man
31810-4moonlig.jpg	a black and white photo of a house			
40914-06nativi.jpg	an old photo of a woman in a mirror			
21450-tigerhun.jpg	a group of animals standing next to a tree			
		a group of animals stand next to a tree	What stand next to a tree?	a group of animals
		a group of animals stand next to a tree	What do a group of animals stand next to?	to a tree
41100-022pieta.jpg	a close up of a person wearing a mask			
		a close up of a person wear a mask	What wear a mask?	a close up of a person
		a close up of a person wear a mask	What do a close up of a person wear?	a mask
23259-04lady1.jpg	a close up of a person wearing a hat			
		a close up of a person wear a hat	What wear a hat?	a close up of a person
		a close up of a person wear a hat	What do a close up of a person wear?	a hat
16997-nuenen12.jpg	a close up of a person wearing a hat			
		a close up of a person wear a hat	What wear a hat?	a close up of a person
		a close up of a person wear a hat	What do a close up of a person wear?	a hat
37521-mystic_m.jpg	a couple of women sitting next to each other			
		a couple of women sit next to each other	What sit next to each other?	a couple of women
		a couple of women sit next to each other	What do a couple of women sit next to?	to each other
22219-virgin_c.jpg	a group of children sitting in front of a clock			
		a group of children sit in front of a clock	What sit in front of a clock?	a group of children
		a group of children sit in front of a clock	What do a group of children sit in?	in front of a clock
18944-03poly.jpg	a painting of a woman standing next to a building			
		a painting of a woman stand next to a building	What do a painting of a woman stand next to?	to a building
		a painting of a woman stand next to a building	What stand next to a building?	a painting of a woman
17177-1asylu10.jpg	a large green tree in the middle of a field			
03575-09reale.jpg	a painting of a person on a wall			
39651-6eccehom.jpg	a close up of a person with a dog			
19544-bullhunt.jpg	a large crowd of people standing in front of a large building			
		a large crowd of people stand in front of a large building	What stand in front of a large building?	a large crowd of people
		a large crowd of people stand in front of a large building	What do a large crowd of people stand in?	in front of a large building
09842-courb1051.jpg	a group of men riding horses down a dirt road			
32879-0ceilinh.jpg	a wall with a clock on the wall			
17762-413goya.jpg	a woman is standing next to a statue			
		a woman is standing next to a statue	What is a woman standing next to?	to a statue
		a woman is standing next to a statue	Who is standing next to a statue?	a woman
08691-12attric.jpg	a statue of a man sitting in a room			
		a statue of a man sit in a room	What do a statue of a man sit in?	in a room
		a statue of a man sit in a room	What sit in a room?	a statue of a man
